ICD9_CODE,SHORT_TITLE,LONG_TITLE,COUNT
85221,Subdural hem w/o coma,"Subdural hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness",1
1539,Malignant neo colon NOS,"Malignant neoplasm of colon, unspecified site",1
42652,Rt bbb/lft ant fasc blk,Right bundle branch block and left anterior fascicular block,1
43310,Ocl crtd art wo infrct,Occlusion and stenosis of carotid artery without mention of cerebral infarction,2
4142,Chr tot occlus cor artry,Chronic total occlusion of coronary artery,1
4139,Angina pectoris NEC/NOS,Other and unspecified angina pectoris,1
V1301,Prsnl hst urnr dsrd calc,Personal history of urinary calculi,1
5853,Chr kidney dis stage III,"Chronic kidney disease, Stage III (moderate)",2
E9429,Adv eff cardiovasc NEC,Other and unspecified agents primarily affecting the cardiovascular system causing adverse effects in therapeutic use,1
78720,Dysphagia NOS,"Dysphagia, unspecified",1
7580,Down's syndrome,Down's syndrome,1
07030,Hpt B acte wo cm wo dlta,"Viral hepatitis B without mention of hepatic coma, acute or unspecified, without mention of hepatitis delta",1
07054,Chrnc hpt C wo hpat coma,Chronic hepatitis C without mention of hepatic coma,1
30401,Opioid dependence-contin,"Opioid type dependence, continuous",1
57471,Gall&bil cal w/oth w obs,"Calculus of gallbladder and bile duct with other cholecystitis, with obstruction",1
5715,Cirrhosis of liver NOS,Cirrhosis of liver without mention of alcohol,2
07070,Hpt C w/o hepat coma NOS,Unspecified viral hepatitis C without hepatic coma,2
45620,Bleed esoph var oth dis,"Esophageal varices in diseases classified elsewhere, with bleeding",2
5723,Portal hypertension,Portal hypertension,2
20300,Mult mye w/o achv rmson,"Multiple myeloma, without mention of having achieved remission",1
5290,Glossitis,Glossitis,1
1972,Second malig neo pleura,Secondary malignant neoplasm of pleura,2
E9331,Adv eff antineoplastic,Antineoplastic and immunosuppressive drugs causing adverse effects in therapeutic use,2
1961,Mal neo lymph-intrathor,Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes,2
1965,Mal neo lymph-inguin/leg,Secondary and unspecified malignant neoplasm of lymph nodes of inguinal region and lower limb,1
5724,Hepatorenal syndrome,Hepatorenal syndrome,2
1625,Mal neo lower lobe lung,"Malignant neoplasm of lower lobe, bronchus or lung",1
78791,Diarrhea,Diarrhea,1
7821,Nonspecif skin erupt NEC,Rash and other nonspecific skin eruption,1
78039,Convulsions NEC,Other convulsions,3
1122,Candidias urogenital NEC,Candidiasis of other urogenital sites,1
03812,MRSA septicemia,Methicillin resistant Staphylococcus aureus septicemia,2
53789,Gastroduodenal dis NEC,Other specified disorders of stomach and duodenum,2
45621,Esoph varice oth dis NOS,"Esophageal varices in diseases classified elsewhere, without mention of bleeding",1
7994,Cachexia,Cachexia,1
30391,Alcoh dep NEC/NOS-contin,"Other and unspecified alcohol dependence, continuous",1
03842,E coli septicemia,Septicemia due to escherichia coli [E. coli],1
1561,Mal neo extrahepat ducts,Malignant neoplasm of extrahepatic bile ducts,1
1975,Sec malig neo lg bowel,Secondary malignant neoplasm of large intestine and rectum,1
45182,Phlbts sprfc vn up extrm,Phlebitis and thrombophlebitis of superficial veins of upper extremities,1
20020,Brkt tmr unsp xtrndl org,"Burkitt's tumor or lymphoma, unspecified site, extranodal and solid organ sites",1
2530,Acromegaly and gigantism,Acromegaly and gigantism,1
56409,Constipation NEC,Other constipation,1
6930,Drug dermatitis NOS,Dermatitis due to drugs and medicines taken internally,1
2753,Dis phosphorus metabol,Disorders of phosphorus metabolism,1
7868,Hiccough,Hiccough,1
86404,"Liver laceration, major","Injury to liver without mention of open wound into cavity, laceration, major",1
8504,Concussion-deep coma,"Concussion with prolonged loss of consciousness, without return to pre-existing conscious level",1
9584,Traumatic shock,Traumatic shock,1
E8232,Oth coll stnd obj-mocycl,Other motor vehicle nontraffic accident involving collision with stationary object injuring motorcyclist,1
86389,GI injury NEC-closed,"Injury to other gastrointestinal sites, without mention of open wound into cavity",1
73689,Oth acq limb deformity,Other acquired deformity of other parts of limb,1
9693,Poison-antipsychotic NEC,"Poisoning by other antipsychotics, neuroleptics, and major tranquilizers",1
29633,Recur depr psych-severe,"Major depressive affective disorder, recurrent episode, severe, without mention of psychotic behavior",1
9680,Pois-cns muscle depress,Poisoning by central nervous system muscle-tone depressants,1
9694,Pois-benzodiazepine tran,Poisoning by benzodiazepine-based tranquilizers,1
E9503,Poison-psychotropic agt,Suicide and self-inflicted poisoning by tranquilizers and other psychotropic agents,1
E9504,Poison-drug/medicin NEC,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,1
431,Intracerebral hemorrhage,Intracerebral hemorrhage,2
2555,Adrenal hypofunction NEC,Other adrenal hypofunction,1
85206,Subarach hem-coma NOS,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with loss of consciousness of unspecified duration",1
85306,Brain hem NEC-coma NOS,"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with loss of consciousness of unspecified duration",1
7861,Stridor,Stridor,1
0383,Anaerobic septicemia,Septicemia due to anaerobes,1
V1003,Hx-esophageal malignancy,Personal history of malignant neoplasm of esophagus,2
4233,Cardiac tamponade,Cardiac tamponade,1
42741,Ventricular fibrillation,Ventricular fibrillation,1
78003,Persistent vegtv state,Persistent vegetative state,1
2967,Bipolor I current NOS,"Bipolar I disorder, most recent episode (or current) unspecified",1
E9379,Adv eff sedat/hypnot NOS,Unspecified sedatives and hypnotics causing adverse effects in therapeutic use,1
7802,Syncope and collapse,Syncope and collapse,1
30393,Alcoh dep NEC/NOS-remiss,"Other and unspecified alcohol dependence, in remission",1
V4983,Await organ transplnt st,Awaiting organ transplant status,1
4010,Malignant hypertension,Malignant essential hypertension,1
27652,Hypovolemia,Hypovolemia,1
4270,Parox atrial tachycardia,Paroxysmal supraventricular tachycardia,1
80375,Opn skl fx NEC-deep coma,"Other open skull fracture with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level",1
87349,Open wound of face NEC,"Open wound of other and multiple sites of face, without mention of complication",1
193,Malign neopl thyroid,Malignant neoplasm of thyroid gland,1
78722,"Dysphagia, oropharyngeal","Dysphagia, oropharyngeal phase",1
5303,Esophageal stricture,Stricture and stenosis of esophagus,1
47833,Vocal paral bilat part,"Bilateral paralysis of vocal cords or larynx, partial",1
V462,Depend-supplement oxygen,"Other dependence on machines, supplemental oxygen",1
1987,Second malig neo adrenal,Secondary malignant neoplasm of adrenal gland,1
1980,Second malig neo kidney,Secondary malignant neoplasm of kidney,1
19889,Secondary malig neo NEC,Secondary malignant neoplasm of other specified sites,1
